Java HotSpot(TM) 64-Bit Server VM (25.72-b15) for linux-amd64 JRE (1.8.0_72-b15), built on Dec 22 2015 22:00:07 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 8094512k(6352056k free), swap 8305660k(8305660k free)
CommandLine flags: -XX:InitialHeapSize=67108864 -XX:MaxHeapSize=536870912 -XX:MaxMetaspaceSize=268435456 -XX:MetaspaceSize=100663296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
3054,221: [GC (Allocation Failure) [PSYoungGen: 92272K->5920K(88576K)] 138514K->53762K(182272K), 0,0104021 secs] [Times: user=0,03 sys=0,00, real=0,01 secs] 
3185,363: [GC (Allocation Failure) [PSYoungGen: 88352K->5776K(93696K)] 136194K->53954K(187392K), 0,0083294 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
3314,259: [GC (Allocation Failure) [PSYoungGen: 85648K->5760K(83456K)] 133826K->54258K(177152K), 0,0079809 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
3436,277: [GC (Allocation Failure) [PSYoungGen: 83072K->5648K(88064K)] 131570K->54482K(181760K), 0,0076537 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
3556,294: [GC (Allocation Failure) [PSYoungGen: 80400K->5536K(78336K)] 129234K->54714K(172032K), 0,0073808 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
3674,310: [GC (Allocation Failure) [PSYoungGen: 78240K->5312K(82944K)] 127418K->54826K(176640K), 0,0086952 secs] [Times: user=0,02 sys=0,01, real=0,01 secs] 
3785,656: [GC (Allocation Failure) [PSYoungGen: 75968K->5232K(74240K)] 125482K->55082K(167936K), 0,0082111 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
3895,713: [GC (Allocation Failure) [PSYoungGen: 73840K->5120K(78336K)] 123690K->55290K(172032K), 0,0076696 secs] [Times: user=0,03 sys=0,00, real=0,01 secs] 
4000,770: [GC (Allocation Failure) [PSYoungGen: 71680K->5024K(69632K)] 121850K->55506K(163328K), 0,0068486 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
4105,372: [GC (Allocation Failure) [PSYoungGen: 69536K->4928K(75264K)] 120018K->55706K(168960K), 0,0073448 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
4205,867: [GC (Allocation Failure) [PSYoungGen: 67904K->4768K(66560K)] 118682K->55826K(160256K), 0,0068413 secs] [Times: user=0,02 sys=0,00, real=0,00 secs] 
4305,920: [GC (Allocation Failure) [PSYoungGen: 66208K->4064K(71680K)] 117266K->55410K(165376K), 0,0065584 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
4400,969: [GC (Allocation Failure) [PSYoungGen: 63968K->4624K(63488K)] 115314K->56242K(157184K), 0,0127448 secs] [Times: user=0,03 sys=0,00, real=0,01 secs] 
4494,435: [GC (Allocation Failure) [PSYoungGen: 62992K->4560K(67072K)] 114610K->56442K(160768K), 0,0117499 secs] [Times: user=0,04 sys=0,00, real=0,02 secs] 
4585,456: [GC (Allocation Failure) [PSYoungGen: 61392K->4352K(59904K)] 113274K->56490K(153600K), 0,0162712 secs] [Times: user=0,04 sys=0,00, real=0,01 secs] 
4676,184: [GC (Allocation Failure) [PSYoungGen: 59648K->3792K(64000K)] 111786K->56178K(157696K), 0,0098540 secs] [Times: user=0,03 sys=0,00, real=0,00 secs] 
4761,254: [GC (Allocation Failure) [PSYoungGen: 57552K->4304K(56832K)] 109938K->56938K(150528K), 0,0108074 secs] [Times: user=0,02 sys=0,00, real=0,02 secs] 
4844,495: [GC (Allocation Failure) [PSYoungGen: 56528K->4128K(61440K)] 109162K->56986K(155136K), 0,0236490 secs] [Times: user=0,05 sys=0,00, real=0,03 secs] 
4926,111: [GC (Allocation Failure) [PSYoungGen: 55328K->4064K(54272K)] 108186K->57138K(147968K), 0,0179326 secs] [Times: user=0,05 sys=0,00, real=0,02 secs] 
5006,524: [GC (Allocation Failure) [PSYoungGen: 54240K->3408K(57856K)] 107314K->56698K(151552K), 0,0079364 secs] [Times: user=0,02 sys=0,00, real=0,00 secs] 
5086,141: [GC (Allocation Failure) [PSYoungGen: 52560K->3904K(52224K)] 105850K->57418K(145920K), 0,0122970 secs] [Times: user=0,04 sys=0,00, real=0,01 secs] 
5163,147: [GC (Allocation Failure) [PSYoungGen: 52032K->3280K(55296K)] 105546K->57002K(148992K), 0,0246364 secs] [Times: user=0,05 sys=0,01, real=0,02 secs] 
5236,673: [GC (Allocation Failure) [PSYoungGen: 50384K->3840K(50176K)] 104106K->57754K(143872K), 0,0153736 secs] [Times: user=0,05 sys=0,00, real=0,02 secs] 
5311,172: [GC (Allocation Failure) [PSYoungGen: 49920K->3792K(52736K)] 103834K->57898K(146432K), 0,0077755 secs] [Times: user=0,02 sys=0,00, real=0,01 secs] 
5383,596: [GC (Allocation Failure) [PSYoungGen: 48848K->3152K(47616K)] 102954K->57466K(141312K), 0,0154246 secs] [Times: user=0,05 sys=0,00, real=0,01 secs] 
5452,617: [GC (Allocation Failure) [PSYoungGen: 47184K->3776K(50176K)] 101498K->58266K(143872K), 0,0229931 secs] [Times: user=0,04 sys=0,00, real=0,02 secs] 
5523,189: [GC (Allocation Failure) [PSYoungGen: 46784K->3024K(45056K)] 101274K->57690K(138752K), 0,0140956 secs] [Times: user=0,04 sys=0,00, real=0,01 secs] 
5590,635: [GC (Allocation Failure) [PSYoungGen: 45008K->3648K(47616K)] 99674K->58482K(141312K), 0,0151913 secs] [Times: user=0,04 sys=0,00, real=0,02 secs] 
5655,648: [GC (Allocation Failure) [PSYoungGen: 44608K->3632K(44032K)] 99442K->58658K(137728K), 0,0110452 secs] [Times: user=0,03 sys=0,00, real=0,01 secs] 
5722,048: [GC (Allocation Failure) [PSYoungGen: 43568K->2912K(45056K)] 98594K->58114K(138752K), 0,0111603 secs] [Times: user=0,03 sys=0,01, real=0,01 secs] 
